day,link,name,interactions,stance
2023-02-15 14:29:49,https://www.facebook.com/100063652446073/posts/637169298414813,"Amy Beard, MD",129,misleading
2023-02-15 15:15:59,https://www.facebook.com/100063683886707/posts/659936812805776,COVID zápisky,141,misleading
2023-02-15 16:00:03,https://www.facebook.com/100044215700413/posts/765220331628483,The Refusers,137,misleading
2023-02-15 17:38:01,https://www.facebook.com/100064911271852/posts/572027531637618,Outspoken - with Ethan Tamaki,104,misleading
2023-02-15 19:51:05,https://www.facebook.com/100079731104375/posts/186617000672669,The Freedoms & Rights Coalition,930,misleading
2023-02-15 21:45:11,https://www.facebook.com/15704546335/posts/10162247583371336,Fox News,775,misleading
2023-02-15 22:00:01,https://www.facebook.com/138944906261148/posts/2536385699850378,The Rubin Report,1840,misleading
2023-02-15 23:00:08,https://www.facebook.com/16599501604/posts/10160460133631605,The Skeptics' Guide to the Universe,148,nuanced_accurate
2023-02-16 7:31:27,https://www.facebook.com/95475020353/posts/10170545088185354,Breitbart,1345,misleading
2023-02-17 1:22:07,https://www.facebook.com/29259828486/posts/10161330526288487,The Atlantic,503,nuanced_accurate
2023-02-17 13:13:52,https://www.facebook.com/266438865355/posts/10158913164135356,MTV Uutiset,869,misleading
2023-02-17 17:34:43,https://www.facebook.com/groups/364060420470558/permalink/2198852416991340,Avoin Tilannehuone – Kadonneen totuuden metsästäjät,108,misleading
2023-02-18 22:15:52,https://www.facebook.com/100044515143114/posts/743403270486838,Geoff Diehl,111,misleading
2023-02-18 23:33:13,https://www.facebook.com/100262198410127/posts/724963379273336,Common Law Assent,109,misleading
2023-02-19 2:50:02,https://www.facebook.com/100044538125175/posts/752836459544285,Larry Elder,143,misleading
2023-02-19 16:11:03,https://www.facebook.com/100044215700413/posts/767876771362839,The Refusers,157,misleading
2023-02-20 15:15:25,https://www.facebook.com/100044328704696/posts/760847398736210,Eric Schmitt,305,misleading
2023-02-20 17:18:17,https://www.facebook.com/100044203970872/posts/752840776199381,Dennis Prager,170,misleading
2023-02-21 14:14:22,https://www.facebook.com/100044538125175/posts/754465249381406,Larry Elder,187,misleading
2023-02-21 15:23:05,https://www.facebook.com/100053149454347/posts/723301166118192,Your Local Epidemiologist,1721,nuanced_accurate
2023-02-22 3:40:00,https://www.facebook.com/176999952314969/posts/6805033799511518,The New York Times Opinion Section,303,misleading
2023-02-22 7:56:31,https://www.facebook.com/100068487459772/posts/505049321787979,雪行者2,246,misleading
2023-02-22 8:54:28,https://www.facebook.com/100051299868262/posts/736168904769765,Dr Scott Jensen,1029,misleading
2023-02-22 9:05:38,https://www.facebook.com/109087273779959/posts/944967116858633,白兵 Stormtrooper,251,misleading
2023-02-22 14:03:48,https://www.facebook.com/223649167822693/posts/2384905905030331,Vox,710,nuanced_accurate
2023-02-22 14:37:36,https://www.facebook.com/100064620525177/posts/561929519304394,"Robert F. Kennedy, Jr",1050,misleading
2023-02-22 15:19:43,https://www.facebook.com/100064169557503/posts/581244384024542,Robby Starbuck,187,misleading
2023-02-22 16:00:03,https://www.facebook.com/100044215700413/posts/769896564494193,The Refusers,119,misleading
2023-02-22 17:18:34,https://www.facebook.com/233946916972658/posts/1815235282177139,Frieden Total,578,misleading
2023-02-23 1:24:52,https://www.facebook.com/100077250247299/posts/220903273828013,Anne Casabonne - Candidate dans Iberville,184,misleading
2023-02-23 2:15:08,https://www.facebook.com/29259828486/posts/10161346065048487,The Atlantic,104,nuanced_accurate
2023-02-23 6:53:12,https://www.facebook.com/100064016251150/posts/591688949641642,Eyes Open New Zealand,132,misleading
2023-02-23 6:54:53,https://www.facebook.com/100063886092036/posts/601398681999663,Доцент Атанас Мангъров,872,misleading
2023-02-23 7:58:31,https://www.facebook.com/100044234719036/posts/734536648030819,Branko Djuric Djuro,2866,misleading
2023-02-23 8:42:42,https://www.facebook.com/berat.buzhala/posts/10159042624886479,Berat Buzhala,536,misleading
2023-02-23 11:00:02,https://www.facebook.com/100063534528401/posts/665163385611473,Adrien Pouliot,242,misleading
2023-02-23 12:13:40,https://www.facebook.com/100064391160571/posts/574742048015496,Simon Friis Larsen - kristen politiker,199,misleading
2023-02-23 15:54:05,https://www.facebook.com/100063494412750/posts/659585256167949,The Shadoe Davis Show,407,misleading
2023-02-23 22:36:28,https://www.facebook.com/groups/838773846819317/permalink/1124726094890756,"The Unvaccinated (healthcare workers, social care workers & students)",519,misleading
2023-02-24 13:15:55,https://www.facebook.com/41632789656/posts/10162932461429657,Townhall.com,291,misleading
2023-02-27 5:26:18,https://www.facebook.com/srabbee/posts/10158999893140653,Shafquat Rabbee Anik,223,misleading
2023-02-27 5:46:55,https://www.facebook.com/100045713349486/posts/735904934609945,Susan Swift,107,misleading
2023-02-27 15:27:26,https://www.facebook.com/414643305272351/posts/8961591800577416,Refutations to Anti-Vaccine Memes,256,nuanced_accurate
2023-02-27 21:09:55,https://www.facebook.com/10513336322/posts/10161702420631323,The Guardian,1005,nuanced_accurate
2023-02-28 7:02:23,https://www.facebook.com/310525018002/posts/10159612006588003,Cicero,352,misleading
2023-02-28 8:21:09,https://www.facebook.com/680341992382788/posts/1682673855482925,Raimond Scheirich,435,misleading
2023-02-28 13:15:02,https://www.facebook.com/100059614204865/posts/604390354891433,Reason Magazine,356,misleading
2023-02-28 14:52:37,https://www.facebook.com/310525018002/posts/10159612503138003,Cicero,449,misleading
2023-02-28 21:00:49,https://www.facebook.com/100053544271577/posts/751296156665187,ZDoggMD,107,misleading
2023-03-01 2:00:10,https://www.facebook.com/100059614204865/posts/604660111531124,Reason Magazine,163,misleading
2023-03-01 12:04:01,https://www.facebook.com/100064650555423/posts/575197317978615,National Post,268,misleading
2023-03-01 21:53:13,https://www.facebook.com/100057805491267/posts/634024218534422,"Rebecca Hains, Author",299,nuanced_accurate
2023-03-02 10:01:01,https://www.facebook.com/143666524748/posts/10161441551424749,The Telegraph,420,misleading
2023-03-02 19:00:46,https://www.facebook.com/41632789656/posts/10162948706744657,Townhall.com,172,misleading
2023-03-03 9:21:01,https://www.facebook.com/100066818131780/posts/537204611850139,港僑互助,402,misleading
2023-03-03 9:42:10,https://www.facebook.com/109087273779959/posts/950265679662110,白兵 Stormtrooper,243,misleading
2023-03-03 15:27:01,https://www.facebook.com/105606064401383/posts/763140388647944,Those Nerdy Girls,600,nuanced_accurate
2023-03-03 17:22:58,https://www.facebook.com/29259828486/posts/10161367714753487,The Atlantic,191,nuanced_accurate
2023-03-04 11:56:34,https://www.facebook.com/100064260326601/posts/583075777177761,Pharmacoidea HU,247,misleading
2023-03-04 13:00:11,https://www.facebook.com/29259828486/posts/10161369439993487,The Atlantic,183,nuanced_accurate
2023-03-07 20:01:03,https://www.facebook.com/100064353922429/posts/616924910462634,PragerU,522,misleading
2023-03-08 16:55:57,https://www.facebook.com/223649167822693/posts/2395113814009540,Vox,1814,nuanced_accurate
2023-03-09 16:22:37,https://www.facebook.com/100049680654059/posts/719633423036006,Unbiased Science Podcast,189,nuanced_accurate
2023-03-10 19:26:22,https://www.facebook.com/groups/1513255398834556/permalink/2352428951583859,Pro TEAM Dr. Drosten,138,nuanced_accurate
