username,original_link,tweet_id,retweets,impressions,day,link,stance,notes
zerohedge,https://www.zerohedge.com/political/how-faucis-wife-used-nih-position-backstop-her-husbands-pandemic-health-directives,1638707166818504705,221,113089,2023-03-23 01:00:08+00:00,https://twitter.com/zerohedge/status/1638707166818504705,misleading,
CartlandDavid,https://chriswaldburger.substack.com/p/ending-the-covid-debate-for-good,1639539521753878528,83,7499,2023-03-25 08:07:37+00:00,https://twitter.com/CartlandDavid/status/1639539521753878528,misleading,
DaliaHasanMD,https://www.thestar.com/news/canada/2023/03/10/how-the-cochrane-review-went-wrong-report-questioning-covid-masks-blows-up-prompts-apology.html,1634504866369355776,84,18434,2023-03-11 10:41:42+00:00,https://twitter.com/DaliaHasanMD/status/1634504866369355776,nuanced_accurate,
EricTopol,https://www.nytimes.com/2023/03/10/opinion/masks-work-cochrane-study.html,1634243668604497920,83,92770,2023-03-10 17:23:48+00:00,https://twitter.com/EricTopol/status/1634243668604497920,nuanced_accurate,
HeyTammyBruce,https://www.dailymail.co.uk/health/article-11702865/Masks-make-little-no-difference-Covid-infections-massive-cross-country-meta-analysis-finds.html,1622287767811112961,84,9473,2023-02-05 17:35:19+00:00,https://twitter.com/HeyTammyBruce/status/1622287767811112961,misleading,
JeninYounesEsq,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,1622662025988960257,84,9626,2023-02-06 18:22:29+00:00,https://twitter.com/JeninYounesEsq/status/1622662025988960257,misleading,
JenniferSey,https://disinformationchronicle.substack.com/p/unmasking-the-new-york-times-zeynep,1636040108452335617,83,24431,2023-03-15 16:22:12+00:00,https://twitter.com/JenniferSey/status/1636040108452335617,misleading,
JohnStone32,https://soniaelijah.substack.com/p/eu-safety-report-on-pfizer-biontech,1627712816324005888,131,179365,2023-02-20 16:52:31+00:00,https://twitter.com/JohnStone32/status/1627712816324005888,,not relevant
MartyMakary,https://sensiblemed.substack.com/p/nejms-disappointing-decision-to-publish,1592636631546482688,190,0,2022-11-15 21:52:17+00:00,https://twitter.com/MartyMakary/status/1592636631546482688,,not relevant
NYTHealth,https://www.nytimes.com/2023/03/10/opinion/masks-work-cochrane-study.html,1634404779186085890,82,28811,2023-03-11 04:03:59+00:00,https://twitter.com/NYTHealth/status/1634404779186085890,nuanced_accurate,
RMConservative,https://soniaelijah.substack.com/p/eu-safety-report-on-pfizer-biontech,1627769331680530445,82,23537,2023-02-20 20:37:05+00:00,https://twitter.com/RMConservative/status/1627769331680530445,,not relevant
RonBrownstein,https://www.politico.com/news/2023/03/01/desantis-medical-freedom-gop-florida-00084842,1631008430017368064,382,196198,2023-03-01 19:08:07+00:00,https://twitter.com/RonBrownstein/status/1631008430017368064,,not relevant
TracyBethHoeg,https://sensiblemed.substack.com/p/nejms-disappointing-decision-to-publish,1591596655081848833,200,0,2022-11-13 00:59:47+00:00,https://twitter.com/TracyBethHoeg/status/1591596655081848833,,not relevant
TracyBethHoeg,https://sensiblemed.substack.com/p/nejms-disappointing-decision-to-publish,1592718201821233152,413,0,2022-11-16 03:16:25+00:00,https://twitter.com/TracyBethHoeg/status/1592718201821233152,,not relevant
VPrasadMDMPH,https://sensiblemed.substack.com/p/nejms-disappointing-decision-to-publish,1591542035609440257,322,0,2022-11-12 21:22:45+00:00,https://twitter.com/VPrasadMDMPH/status/1591542035609440257,,not relevant
VitimasVacinas,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628675947162370048,82,4518,2023-02-23 08:39:39+00:00,https://twitter.com/VitimasVacinas/status/1628675947162370048,misleading,
benoitm_mtl,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,1639250715469029379,82,2755,2023-03-24 13:00:01+00:00,https://twitter.com/benoitm_mtl/status/1639250715469029379,misleading,
davidzweig,https://davidzweig.substack.com/p/a-new-study-shows-why-mask-mandates,1620525249325580289,590,192684,2023-01-31 20:51:41+00:00,https://twitter.com/davidzweig/status/1620525249325580289,,not relevant
jeffreyatucker,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628229023552733184,83,13473,2023-02-22 03:03:44+00:00,https://twitter.com/jeffreyatucker/status/1628229023552733184,misleading,
jhmdrei,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1.62855E+18,136,13508,2023-02-23 00:15:00+00:00,https://twitter.com/jhmdrei/status/1628548945231360000,misleading,
medinalorca,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628558644181606401,84,3583,2023-02-23 00:53:32+00:00,https://twitter.com/medinalorca/status/1628558644181606401,misleading,
nbreavington,https://expose-news.com/2023/03/03/pandemic-industry-plotted-to-kill-11-million-cats/,1631602990447566851,138,6891,2023-03-03 10:30:41+00:00,https://twitter.com/nbreavington/status/1631602990447566851,misleading,
raggedlines,https://raggedlines.substack.com/p/cochrane-settles-the-mask-debate,1620800622730805248,83,8374,2023-02-01 15:05:56+00:00,https://twitter.com/raggedlines/status/1620800622730805248,misleading,
ryanlcooper,https://www.politico.com/news/2023/03/01/desantis-medical-freedom-gop-florida-00084842,1631019148015722502,258,81011,2023-03-01 19:50:42+00:00,https://twitter.com/ryanlcooper/status/1631019148015722502,,not relevant
stkirsch,https://stevekirsch.substack.com/p/even-more-proof-masks-dont-work,1613790904023941130,264,31873,2023-01-13 06:51:48+00:00,https://twitter.com/stkirsch/status/1613790904023941130,misleading,
zerohedge,https://www.zerohedge.com/covid-19/ugly-people-more-likely-wear-masks-university-study,1621999572477267970,420,350217,2023-02-04 22:30:08+00:00,https://twitter.com/zerohedge/status/1621999572477267970,misleading,
zerohedgejpn,https://www.zerohedge.com/covid-19/ugly-people-more-likely-wear-masks-university-study,1621999601061597184,424,289082,2023-02-04 22:30:14+00:00,https://twitter.com/zerohedgejpn/status/1621999601061597184,misleading,
